Timestamp,Day,Hour,Duration_Seconds,Duration_Traffic_Seconds
2025-04-08 14:52:01,Tuesday,14,2314,2013
2025-04-08 14:53:34,Tuesday,14,2314,1994
2025-04-08 14:53:36,Tuesday,14,2314,1996
2025-04-08 14:53:38,Tuesday,14,2314,1998
